,Area,Location,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool,Price,#VALUE!
2707,690,Ambernath,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,2800000,4057.971014
2213,994,Ambernath,2,1,1,1,0,0,0,1,1,1,0,0,0,0,0,3999000,4023.138833
6199,630,Ambernath,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,2520000,4000
6204,630,Ambernath,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2520000,4000
6200,644,Ambernath,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,2576000,4000
6205,644,Ambernath,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2576000,4000
5389,709,Ambernath,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2836000,4000
6201,709,Ambernath,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,2836000,4000
6206,766,Ambernath,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,3064000,4000
5907,797,Ambernath,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,3188000,4000
6207,797,Ambernath,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,3188000,4000
2214,993,Ambernath,2,1,1,1,0,0,0,1,1,1,0,0,0,0,0,3954999,3982.879154
2897,910,Ambernath,2,1,1,1,0,0,0,1,1,1,0,0,1,0,1,3600000,3956.043956
447,673,Ambernath,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,2650000,3937.592868
361,640,Ambernath,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,2418000,3778.125
360,660,Ambernath,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,2492000,3775.757576
359,675,Ambernath,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,2548000,3774.814815
5789,827,Ambernath,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,3100000,3748.488513
436,634,Ambernath,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,2374000,3744.479495
2107,595,Ambernath,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,2225000,3739.495798
2216,918,Ambernath,2,1,1,1,0,0,0,1,1,1,0,0,0,0,0,3410000,3714.59695
2215,925,Ambernath,2,1,1,1,0,0,0,1,1,1,0,0,0,0,0,3415000,3691.891892
2217,650,Ambernath,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,2300000,3538.461538
362,690,Ambernath,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,2400000,3478.26087
2489,728,Ambernath,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,2500000,3434.065934
1042,690,Ambernath,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,2300000,3333.333333
2243,634,Ambernath,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,2100000,3312.302839
4814,1357,Andheri,3,1,1,1,1,0,1,1,1,0,0,1,0,1,1,73700000,54310.9801
4817,1105,Andheri,3,1,1,1,1,0,1,1,1,0,0,1,0,1,1,59700000,54027.14932
4819,1478,Andheri,3,1,1,1,1,0,1,1,1,0,0,1,0,1,1,78800000,53315.29093
2977,1705,Andheri,4,1,1,1,1,0,1,1,1,0,0,1,0,1,1,85600000,50205.27859
2974,1234,Andheri,3,1,1,1,1,0,1,1,1,0,0,1,0,1,1,60700000,49189.62723
2981,1210,Andheri,3,1,1,1,1,0,1,1,1,0,0,1,0,1,1,59500000,49173.55372
2979,1344,Andheri,3,1,1,1,1,0,1,1,1,0,0,1,0,1,1,65500000,48735.11905
3184,3100,Andheri,5,0,1,1,1,0,1,1,1,1,1,1,1,1,1,150000000,48387.09677
2975,1648,Andheri,4,1,1,1,1,0,1,1,1,0,0,1,0,1,1,79200000,48058.25243
2980,1418,Andheri,3,1,1,1,1,0,1,1,1,0,0,1,0,1,1,68100000,48025.38787
3026,2073,Andheri,3,1,1,1,1,0,1,1,1,1,1,0,1,1,1,99000000,47756.8741
2978,1142,Andheri,3,1,1,1,1,0,1,1,1,0,0,1,0,1,1,54500000,47723.29247
4815,894,Andheri,2,1,1,1,1,0,1,1,1,0,0,1,0,1,1,42600000,47651.00671
2976,1305,Andheri,3,1,1,1,1,0,1,1,1,0,0,1,0,1,1,62100000,47586.2069
4816,932,Andheri,2,1,1,1,1,0,1,1,1,0,0,1,0,1,1,44300000,47532.18884
2973,1181,Andheri,3,1,1,1,1,0,1,1,1,0,0,1,0,1,1,55700000,47163.42083
4818,1335,Andheri,3,1,1,1,1,0,1,1,1,0,0,1,0,1,1,62800000,47041.1985
2972,1179,Andheri,3,1,1,1,1,0,1,1,1,0,0,1,0,1,1,55400000,46988.97371
2971,1174,Andheri,3,1,1,1,1,0,1,1,1,0,0,1,0,1,1,54200000,46166.9506
3025,2550,Andheri,4,1,1,1,1,0,1,1,1,1,1,0,1,1,1,110000000,43137.2549
3121,1680,Andheri,4,1,1,1,0,0,1,1,1,1,1,1,0,0,1,71500000,42559.52381
1708,2590,Andheri,3,0,1,1,1,0,1,1,1,0,1,0,1,1,1,110000000,42471.04247
3123,2400,Andheri,4,1,1,1,1,0,1,1,1,1,0,1,0,1,1,101800000,42416.66667
1707,1600,Andheri,4,0,1,1,1,0,1,0,0,0,1,0,1,0,0,65000000,40625
1927,1875,Andheri,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,75000000,40000
3119,930,Andheri,2,1,1,1,0,0,1,1,1,1,1,1,0,0,1,36000000,38709.67742
3122,1500,Andheri,3,1,1,1,1,0,1,1,1,1,0,1,0,1,1,58000000,38666.66667
5408,600,Andheri,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,23100000,38500
1734,3140,Andheri,3,1,1,1,1,0,1,1,1,1,1,0,1,1,1,119900000,38184.71338
6001,1250,Andheri,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,46500000,37200
6077,912,Andheri,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,33500000,36732.45614
2858,3000,Andheri,4,1,1,1,0,0,0,1,1,1,0,0,0,0,1,110000000,36666.66667
6089,660,Andheri,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24000000,36363.63636
4604,713,Andheri,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,25000000,35063.1136
